date,scrap_type,title,original_title,genre,score,annee,public,time,langue,pays,description,acteur
2022-12-15 09:35:10.845946,film,Howl's Moving Castle,Hauru no ugoku shiro,Animation,8.2,2004,Tous publics,119,Japanese,Japan,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ..., "," Chieko Baishô, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin, Ryûnosuke Kamiki"
2022-12-15 09:35:25.400963,film,Downfall,Der Untergang,Biography,8.2,2004,Tous publics avec avertissement,156,,Germany,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."," Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes, Juliane Köhler"
2022-12-15 09:35:13.718934,film,Finding Nemo,Finding Nemo,Animation,8.2,2003,Tous publics,100,English,United States,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."," Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett"
2022-12-15 09:35:15.064671,film,Kill Bill: Vol. 1,Kill Bill: Vol. 1,Action,8.2,2003,Tous publics avec avertissement,111,"English,Japanese,French",United States,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."," Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine"
2022-12-15 09:35:18.020760,film,A Beautiful Mind,A Beautiful Mind,Biography,8.2,2001,Tous publics,135,English,United States,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."," Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer, Paul Bettany"
2022-12-15 09:35:30.212210,film,Snatch,Snatch,Comedy,8.2,2000,Tous publics avec avertissement,102,"English,Russian",United Kingdom,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."," Ade, William Beck, Andy Beckwith, Ewen Bremner, Jason Buckham"
2022-12-15 09:35:17.418117,film,The Sixth Sense,The Sixth Sense,Drama,8.2,1999,Tous publics,107,"English,Latin,Spanish",United States,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."," Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Trevor Morgan"
2022-12-15 09:35:12.683815,film,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",Action,8.2,1998,Tous publics avec avertissement,107,English,United Kingdom,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."," Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham, Steven Mackintosh"
2022-12-15 09:35:18.973557,film,The Truman Show,The Truman Show,Comedy,8.2,1998,Tous publics,103,English,United States,An insurance salesman discovers his whole life is actually a reality TV show.," Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor"
2022-12-15 09:35:03.939116,film,Children of Heaven,Bacheha-Ye aseman,Drama,8.2,1997,Tous publics,89,Persian,Iran,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."," Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi, Fereshte Sarabandi"
2022-12-15 09:35:28.586249,film,L.A. Confidential,L.A. Confidential,Crime,8.2,1997,Tous publics avec avertissement,138,English,United States,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."," Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell, Kim Basinger"
2022-12-15 09:35:20.863901,film,Casino,Casino,Crime,8.2,1995,Tous publics avec avertissement,178,,United States,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fas..., "," Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles"
2022-12-15 09:35:14.838922,film,Jurassic Park,Jurassic Park,Action,8.2,1993,Tous publics,127,"English,Spanish",United States,"A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din..., "," Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck"
2022-12-15 09:35:18.655226,film,Unforgiven,Unforgiven,Drama,8.2,1992,Tous publics avec avertissement,130,English,United States,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""," Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett"
2022-12-15 09:35:27.337428,film,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,Action,8.2,1989,Tous publics,127,"English,German,Greek,Arabic",United States,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to s..., "," Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody, John Rhys-Davies"
2022-12-15 09:35:27.259436,film,Die Hard,Die Hard,Action,8.2,1988,Tous publics avec avertissement,132,"English,German,Italian,Japanese",United States,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.," Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason, De'voreaux White"
2022-12-15 09:35:19.785028,film,Ran,Ran,Action,8.2,1985,Tous publics avec avertissement,162,,Japan,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o..., "," Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû, Mieko Harada"
2022-12-15 09:35:12.909781,film,The Thing,The Thing,Horror,8.2,1982,Tous publics avec avertissement,109,,United States,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.," Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon, Keith David"
2022-12-15 09:35:13.127926,film,Raging Bull,Raging Bull,Biography,8.2,1980,Tous publics avec avertissement,129,,United States,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."," Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto"
2022-12-15 09:35:13.231080,film,The Elephant Man,The Elephant Man,Biography,8.2,1980,Tous publics,124,,United States,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte..., "," Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud, Wendy Hiller"
2022-12-15 09:35:29.004154,film,Taxi Driver,Taxi Driver,Crime,8.2,1976,Tous publics avec avertissement,114,,United States,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."," Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito, Garth Avery"
2022-12-15 09:34:29.391957,film,Dersu Uzala,Dersu Uzala,Adventure,8.2,1975,Tous publics,142,"Russian,Chinese",Soviet Union,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.," Yuriy Solomin, Maksim Munzuk, Mikhail Bychkov, Vladimir Khrulyov, V. Lastochkin, Stanislav Marin, Igor Sykhra, Vladimir Sergiyakov, Yanis Yakobsons, Vladimir Khlestov, G. Polunin, V. Koldin, M. Tetov, S. Sinyavskiy, Vladimir Sverba, V. Ignatov, Vladimir Kremena, Aleksandr Pyatkov, Svetlana Danilchenko, Dmitriy Korshikov, Suymenkul Chokmorov, Daniil Netrebin, Serafim Zaytsev, Nikolay Volkov, V. Kiryanov, Tsun Di-go, Zarema Mademilova"
2022-12-15 09:35:15.775866,film,Monty Python and the Holy Grail,Monty Python and the Holy Grail,Adventure,8.2,1975,Tous publics,91,,United Kingdom,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."," Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones"
2022-12-15 09:35:13.367809,film,Chinatown,Chinatown,Drama,8.2,1974,Tous publics avec avertissement,130,,United States,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."," Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, John Hillerman"
2022-12-15 09:35:25.149485,film,For a Few Dollars More,Per qualche dollaro in più,Western,8.2,1965,Tous publics avec avertissement,132,,Italy,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.," Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp, Luigi Pistilli"
2022-12-15 09:35:14.144973,film,The Great Escape,The Great Escape,Adventure,8.2,1963,Tous publics,172,,United States,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.," Steve McQueen, James Garner, Richard Attenborough, James Donald, Charles Bronson"
2022-12-15 09:35:16.797028,film,Yojimbo,Yôjinbô,Action,8.2,1961,Tous publics,110,,Japan,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.," Toshirô Mifune, Tatsuya Nakadai, Yôko Tsukasa, Isuzu Yamada, Daisuke Katô"
2022-12-15 09:35:21.690122,film,Some Like It Hot,Some Like It Hot,Comedy,8.2,1959,Tous publics,121,,United States,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."," Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O'Brien"
2022-12-15 09:35:07.740264,film,The Bridge on the River Kwai,The Bridge on the River Kwai,Adventure,8.2,1957,Tous publics,161,,United Kingdom,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t..., "," William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa, James Donald"
2022-12-15 09:35:08.752662,film,Dial M for Murder,Dial M for Murder,Crime,8.2,1954,Tous publics,105,,United States,A former tennis star arranges the murder of his adulterous wife.," Ray Milland, Grace Kelly, Robert Cummings, John Williams, Anthony Dawson"
2022-12-15 09:34:44.685345,film,Tokyo Story,Tôkyô monogatari,Drama,8.2,1953,Tous publics,136,,Japan,"An old couple visit their children and grandchildren in the city, but receive little attention."," Chishû Ryû, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura, Sô Yamamura"
2022-12-15 09:34:57.650852,film,The Wages of Fear,Le salaire de la peur,Adventure,8.2,1953,Tous publics,131,,France,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."," Yves Montand, Charles Vanel, Folco Lulli, Peter van Eyck, Véra Clouzot"
2022-12-15 09:35:14.802599,film,Rashomon,Rashômon,Crime,8.2,1950,Tous publics,88,,Japan,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."," Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, Minoru Chiaki"
2022-12-15 09:35:21.408448,film,All About Eve,All About Eve,Drama,8.2,1950,Tous publics,138,"English,French",United States,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.," Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill"
2022-12-15 09:35:16.043811,film,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,Adventure,8.2,1948,Tous publics,126,,United States,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.," Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane"
2022-12-15 09:34:36.608409,film,To Be or Not to Be,To Be or Not to Be,Comedy,8.2,1942,Tous publics,99,,United States,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."," Carole Lombard, Jack Benny, Robert Stack, Felix Bressart, Lionel Atwill"
2022-12-15 09:35:12.387719,film,Gone with the Wind,Gone with the Wind,Drama,8.2,1939,Tous publics,238,,United States,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.," Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford"
2022-12-15 09:34:47.401868,film,The Passion of Joan of Arc,La passion de Jeanne d'Arc,Biography,8.2,1928,Tous publics,114,,France,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."," Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz, Antonin Artaud"
2022-12-15 09:35:00.169127,film,The General,The General,Action,8.2,1926,Tous publics,67,,United States,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ..., "," Buster Keaton, Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom"
2022-12-15 09:35:03.729644,film,The Gold Rush,The Gold Rush,Adventure,8.2,1925,Tous publics,95,"English,None",United States,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."," Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman, Malcolm Waite"
2022-12-15 09:34:52.604310,film,Sherlock Jr.,Sherlock Jr.,Action,8.2,1924,Tous publics,45,,United States,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."," Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly, Ward Crane"
2022-12-15 09:34:31.426978,film,Everything Everywhere All at Once,Everything Everywhere All at Once,Action,8.1,2022,Tous publics avec avertissement,139,"English,Mandarin,Cantonese",United States,"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led."," Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, James Hong, Jamie Lee Curtis, Tallie Medel, Jenny Slate, Harry Shum Jr., Randy Newman, Biff Wiff, Sunita Mani, Aaron Lazar, Brian Le, Andy Le, Narayana Cabral, Chelsey Goldsmith, Craig Henningsen, Anthony Molinari, Dan Brown, Panuvat Anthony Nanakornpanom, Cara Marie Chooljian, Randall Archer, Efka Kvaraciejus, Peter Banifaz"
2022-12-15 09:34:43.623883,film,Ford v Ferrari,Ford v Ferrari,Action,8.1,2019,Tous publics,152,"English,Italian,French,Japanese",United States,"American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2..., "," Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe, Josh Lucas"
2022-12-15 09:34:57.677625,film,Klaus,Klaus,Animation,8.1,2019,Tous publics,96,"English,Saami",Spain,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv..., "," Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Neda Margrethe Labba"
2022-12-15 09:34:40.963181,film,Logan,Logan,Action,8.1,2017,Tous publics avec avertissement,137,"English,Spanish",United States,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s..., "," Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, Stephen Merchant"
2022-12-15 09:35:11.166496,film,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",Comedy,8.1,2017,Tous publics avec avertissement,115,English,United Kingdom,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.," Frances McDormand, Caleb Landry Jones, Kerry Condon, Sam Rockwell, Alejandro Barrios"
2022-12-15 09:34:31.385830,film,The Handmaiden,Ah-ga-ssi,Drama,8.1,2016,Tous publics,145,"Korean,Japanese",South Korea,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."," Kim Tae-ri, Yong-nyeo Lee, Min-chae Yoo, Dong-hwi Lee, Kim Hae-sook, Kim Min-hee, Ha Jung-woo, Kyu-jung Lee, Si-eun Kim, Si-yeon Ha, Rina Takagi, Cho Jin-woong, Geun-hee Won, Jong-Dae Kim, Han-sun Jang, Eun-yeong Kim, Ri-woo Kim, Shinsuke Fujimoto, Katsuhiro Nagano, Lee Ji-Ha, Tomomitsu Adachi, Takashi Kakizawa, Seo-Yoon Hwang, Shin-hye Park"
2022-12-15 09:34:56.417623,film,Hacksaw Ridge,Hacksaw Ridge,Biography,8.1,2016,Tous publics avec avertissement,139,"English,Japanese",Australia,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor ..., "," Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson, Darcy Bryce"
2022-12-15 09:34:42.400001,film,Spotlight,Spotlight,Biography,8.1,2015,Tous publics avec avertissement,129,English,United States,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."," Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, John Slattery"
2022-12-15 09:34:51.620210,film,Room,Room,Drama,8.1,2015,Tous publics avec avertissement,118,English,Ireland,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."," Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson, Sandy McMaster"
2022-12-15 09:34:54.059418,film,Mad Max: Fury Road,Mad Max: Fury Road,Action,8.1,2015,Tous publics avec avertissement,2,"English,Russian",Australia,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named ..., "," Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman"
2022-12-15 09:34:55.847337,film,Wild Tales,Relatos salvajes,Comedy,8.1,2014,Tous publics avec avertissement,122,Spanish,Argentina,Six short stories that explore the extremities of human behavior involving people in distress.," Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta, Marcelo Frasca"
2022-12-15 09:35:00.221319,film,The Grand Budapest Hotel,The Grand Budapest Hotel,Adventure,8.1,2014,Tous publics avec avertissement,99,"English,French,German",United States,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."," Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody, Willem Dafoe"
2022-12-15 09:35:00.523636,film,Gone Girl,Gone Girl,Drama,8.1,2014,Tous publics avec avertissement,149,English,United States,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."," Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Carrie Coon"
2022-12-15 09:34:41.588726,film,Rush,Rush,Action,8.1,2013,Tous publics avec avertissement,123,"English,German,Italian,French,Spanish",United Kingdom,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.," Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino"
2022-12-15 09:35:02.854646,film,12 Years a Slave,12 Years a Slave,Biography,8.1,2013,Tous publics avec avertissement,134,English,United States,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."," Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt, Ashley Dyke"
2022-12-15 09:35:05.851398,film,Prisoners,Prisoners,Crime,8.1,2013,Tous publics avec avertissement,153,English,United States,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."," Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard"
2022-12-15 09:34:28.402009,film,The Help,The Help,Drama,8.1,2011,Tous publics,146,English,United States,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and th..., "," Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer, Jessica Chastain, Ahna O'Reilly, Allison Janney, Anna Camp, Eleanor Henry, Emma Henry, Christopher Lowell, Cicely Tyson, Mike Vogel, Sissy Spacek, Brian Kerwin, Wes Chatham, Aunjanue Ellis, Ted Welch, Shane McRae, Roslyn Ruff, Tarra Riggs, Leslie Jordan, Mary Steenburgen, Tiffany Brouwer, Carol Lee, Carol Sutton, Millicent Bolton"
2022-12-15 09:35:03.501565,film,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows - Part 2,Adventure,8.1,2011,Tous publics,130,"English,Latin",United Kingdom,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."," Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe, Rupert Grint"
2022-12-15 09:34:51.656078,film,How to Train Your Dragon,How to Train Your Dragon,Animation,8.1,2010,Tous publics,98,English,United States,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."," Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill"
2022-12-15 09:34:34.847277,film,Hachi: A Dog's Tale,Hachi: A Dog's Tale,Biography,8.1,2009,Tous publics,93,"English,Japanese",United Kingdom,A college professor bonds with an abandoned dog he takes into his home.," Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer, Jason Alexander"
2022-12-15 09:34:49.472048,film,Mary and Max,Mary and Max.,Animation,8.1,2009,Tous publics,92,"English,Yiddish",Australia,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New Y..., "," Christopher Massey, Oliver Marks, Daisy Kocher, Daniel Marks, Hamish Hughes"
2022-12-15 09:35:05.685326,film,Gran Torino,Gran Torino,Drama,8.1,2008,Tous publics avec avertissement,116,"English,Hmong",Germany,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."," Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her, Brian Haley"
2022-12-15 09:34:39.236012,film,Into the Wild,Into the Wild,Adventure,8.1,2007,Tous publics avec avertissement,148,"English,Danish",United States,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ..., "," Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian H. Dierker"
2022-12-15 09:34:40.250478,film,Ratatouille,Ratatouille,Animation,8.1,2007,Tous publics,111,"English,French",United States,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.," Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn"
2022-12-15 09:34:38.703948,film,Before Sunset,Before Sunset,Drama,8.1,2004,Tous publics avec avertissement,80,"English,French",United States,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."," Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès, Rodolphe Pauly"
2022-12-15 09:34:44.024042,film,Hotel Rwanda,Hotel Rwanda,Biography,8.1,2004,Tous publics,121,"English,French,Kinyarwanda",United Kingdom,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."," Xolani Mali, Don Cheadle, Desmond Dube, Hakeem Kae-Kazim, Tony Kgoroge"
2022-12-15 09:35:04.851052,film,Million Dollar Baby,Million Dollar Baby,Drama,8.1,2004,Tous publics,132,"English,Irish Gaelic",United States,A determined woman works with a hardened boxing trainer to become a professional.," Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel, Mike Colter"
2022-12-15 09:34:35.631050,film,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,Action,8.1,2003,Tous publics,143,English,United States,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."," Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport"
2022-12-15 09:34:51.598538,film,Memories of Murder,Salinui chueok,Crime,8.1,2003,Tous publics,132,"Korean,English",South Korea,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."," Song Kang-ho, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song, Byun Hee-Bong"
2022-12-15 09:35:05.985117,film,Catch Me If You Can,Catch Me If You Can,Biography,8.1,2002,Tous publics,141,"English,French",United States,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."," Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye"
2022-12-15 09:34:49.804111,film,"Monsters, Inc.","Monsters, Inc.",Animation,8.1,2001,Tous publics,92,English,United States,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ..., "," John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi, James Coburn"
2022-12-15 09:34:34.663545,film,Amores Perros,Amores perros,Drama,8.1,2000,Tous publics avec avertissement,154,Spanish,Mexico,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."," Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero, Vanessa Bauche"
2022-12-15 09:34:28.444195,film,The Iron Giant,The Iron Giant,Animation,8.1,1999,Tous publics,86,English,United States,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.," Jennifer Aniston, Harry Connick Jr., Vin Diesel, James Gammon, Cloris Leachman, Christopher McDonald, John Mahoney, Eli Marienthal, M. Emmet Walsh, Jack Angel, Bob Bergen, Mary Kay Bergman, Michael Bird, Devon Cole Borisoff, Rodger Bumpass, Robert Clotworthy, Jennifer Darling, Zack Eginton, Paul Eiding, Bill Farmer, Charles Howerton, Ollie Johnston, Sherry Lynn, Mickie McGowan, Ryan O'Donohue, Phil Proctor, Frank Thomas"
2022-12-15 09:34:47.251760,film,The Big Lebowski,The Big Lebowski,Comedy,8.1,1998,Tous publics avec avertissement,117,,United States,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help whi..., "," Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston"
2022-12-15 09:35:06.060537,film,Fargo,Fargo,Crime,8.1,1996,Tous publics avec avertissement,98,English,United States,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.," William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd, Harve Presnell"
2022-12-15 09:35:06.870215,film,Trainspotting,Trainspotting,Drama,8.1,1996,Tous publics avec avertissement,93,English,United Kingdom,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."," Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle"
2022-12-15 09:34:36.240446,film,La haine,La haine,Crime,8.1,1995,Tous publics,98,French,France,24 hours in the lives of three young men in the French suburbs the day after a violent riot.," Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Solo"
2022-12-15 09:35:02.756357,film,Before Sunrise,Before Sunrise,Drama,8.1,1995,Tous publics avec avertissement,101,,United States,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."," Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, Karl Bruckschwaiger"
